-0.021,-0.027,0.932
-0.011,0.284,0.890
-0.005,0.470,0.811
0.008,0.687,0.651
0.017,0.815,0.501
0.028,0.919,0.305
0.036,0.970,0.144
0.048,0.991,-0.159
0.057,0.929,-0.439
0.065,0.770,-0.718
0.068,0.583,-0.898
0.067,0.385,-1.011
-0.027,-0.583,0.745
-0.024,-0.845,0.468
-0.016,-0.982,0.137
-0.005,-1.002,-0.178
0.012,-0.909,-0.515
0.032,-0.688,-0.822
0.046,-0.411,-1.007
0.056,-0.165,-1.080
0.029,-0.811,-0.683
0.031,-0.037,0.935
0.325,-0.031,0.884
0.499,-0.025,0.808
0.658,-0.019,0.697
0.772,-0.014,0.585
0.884,-0.008,0.424
0.971,0.005,0.225
1.015,0.013,-0.027
0.983,0.022,-0.335
0.856,0.022,-0.627
0.697,0.019,-0.819
0.560,0.015,-0.928
0.408,0.012,-1.010
0.185,0.004,-1.078
-0.081,-0.003,-1.089
-0.496,-0.054,0.793
-0.817,-0.060,0.491
-0.909,-0.060,0.325
-0.990,-0.058,0.006
-0.986,-0.055,-0.213
-0.890,-0.049,-0.531
-0.761,-0.041,-0.731
-0.496,-0.027,-0.956
-0.278,-0.017,-1.050
-0.050,-1.004,-0.111
0.290,-0.966,-0.097
0.514,-0.872,-0.087
0.701,-0.733,-0.077
0.869,-0.526,-0.067
0.969,-0.307,-0.062
1.016,-0.013,-0.058
0.981,0.254,-0.057
0.906,0.448,-0.058
0.798,0.617,-0.058
0.643,0.772,-0.062
0.445,0.897,-0.069
0.225,0.972,-0.076
-0.117,0.987,-0.087
-0.435,0.891,-0.100
-0.650,0.749,-0.108
-0.816,0.562,-0.121
-0.963,0.240,-0.133
-0.987,-0.120,-0.141
-0.911,-0.402,-0.142
-0.773,-0.627,-0.140
-0.519,-0.855,-0.133
-0.315,-0.952,-0.125
-0.195,-0.985,-0.121
